Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Bent Over Barbell Row,2019-12-06,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-12-06,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-09-21,10,144.95922199744172,0.0,0.0,1.0,1449.5922199744173
Bent Over Barbell Row,2019-09-21,10,144.95922199744172,0.0,0.0,1.0,1449.5922199744173
Bent Over Barbell Row,2019-09-21,10,144.95922199744172,0.0,0.0,1.0,1449.5922199744173
Bent Over Barbell Row,2019-12-06,8,129.9634404114995,0.0,0.0,1.0,1039.707523291996
Bent Over Barbell Row,2019-12-06,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-12-02,10,114.96765882555725,0.0,0.0,1.0,1149.6765882555726
Bent Over Barbell Row,2019-10-13,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-10-13,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-10-13,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-10-13,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-12-06,10,94.97328337763426,0.0,0.0,1.0,949.7328337763427
Bent Over Barbell Row,2019-12-06,8,129.9634404114995,0.0,0.0,1.0,1039.707523291996
Bent Over Barbell Row,2019-12-06,8,109.96906496357653,0.0,0.0,1.0,879.7525197086122
Bent Over Barbell Row,2019-12-06,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Bent Over Barbell Row,2019-09-17,10,134.96203427348027,0.0,0.0,1.0,1349.6203427348028
Bent Over Barbell Row,2019-09-17,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-09-26,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-09-26,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-09-03,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-09-03,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-09-26,10,134.96203427348027,0.0,0.0,1.0,1349.6203427348028
Bent Over Barbell Row,2019-09-03,12,134.96203427348027,0.0,0.0,1.0,1619.5444112817631
Bent Over Barbell Row,2019-12-06,10,94.97328337763426,0.0,0.0,1.0,949.7328337763427
Cable Bicep Curl,2020-03-04,10,79.977501791692,0.0,0.0,1.0,799.7750179169201
Cable Bicep Curl,2020-09-05,16,29.991563171884504,0.0,0.0,1.0,479.86501075015207
Cable Bicep Curl,2020-03-04,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Cable Bicep Curl,2020-02-18,10,59.98312634376901,0.0,0.0,1.0,599.83126343769
Cable Bicep Curl,2019-12-19,12,39.988750895846,0.0,0.0,1.0,479.865010750152
Cable Bicep Curl,2020-02-13,12,64.98172020574975,0.0,0.0,1.0,779.780642468997
